OID_,hhpkm,nvpkm,areakm,hhn,nvn,hvn,grid,Shape_Length,Shape_Area,row,col
19,645.250000000000000,11.000000000000000,2.560000000000000,1652,28,1624,21,6400.000000000000000,2560000.000000000000000,25,
20,749.000000000000000,9.500000000000000,2.560000000000000,1917,24,1893,22,6400.000000000000000,2560000.000000000000000,25,
21,797.500000000000000,21.000000000000000,2.560000000000000,2042,54,1988,23,6400.000000000000000,2560000.000000000000000,25,
22,198.500000000000000,6.500000000000001,2.560000000000000,508,17,491,24,6400.000000000000000,2560000.000000000000000,25,
23,467.500000000000000,14.500000000000000,2.560000000000000,1197,37,1160,25,6400.000000000000000,2560000.000000000000000,25,
24,736.500000000000000,22.500000000000000,2.560000000000000,1885,58,1827,26,6400.000000000000000,2560000.000000000000000,25,
25,600.500000000000000,8.500000000000000,2.560000000000000,1537,22,1515,27,6400.000000000000000,2560000.000000000000000,25,
26,3.000000000000000,0.000000000000000,2.560000000000000,8,0,8,32,6400.000000000000000,2560000.000000000000000,25,
27,2.666666666666667,0.333333333333333,2.560000000000000,7,1,6,33,6400.000000000000000,2560000.000000000000000,25,
28,2.000000000000000,1.000000000000000,2.560000000000000,5,3,2,34,6400.000000000000000,2560000.000000000000000,25,
29,2.000000000000000,1.000000000000000,2.560000000000000,5,3,2,35,6400.000000000000000,2560000.000000000000000,25,
30,2.000000000000000,1.000000000000000,2.560000000000000,5,3,2,36,6400.000000000000000,2560000.000000000000000,25,
31,2.000000000000000,1.000000000000000,2.560000000000000,5,3,2,37,6400.000000000000000,2560000.000000000000000,25,
32,2.000000000000000,1.000000000000000,2.560000000000000,5,3,2,38,6400.000000000000000,2560000.000000000000000,25,
33,2.000000000000000,1.000000000000000,2.560000000000000,5,3,2,39,6400.000000000000000,2560000.000000000000000,25,
34,2.000000000000000,1.000000000000000,2.560000000000000,5,3,2,40,6400.000000000000000,2560000.000000000000000,25,
35,2.000000000000000,1.000000000000000,2.560000000000000,5,3,2,41,6400.000000000000000,2560000.000000000000000,25,
36,52.500000000000000,2.500000000000000,2.560000000000000,134,6,128,42,6400.000000000000000,2560000.000000000000000,25,
37,0.000000000000000,0.000000000000000,2.560000000000000,0,0,0,43,6400.000000000000000,2560000.000000000000000,25,
38,0.000000000000000,0.000000000000000,2.560000000000000,0,0,0,44,6400.000000000000000,2560000.000000000000000,25,
39,0.000000000000000,0.000000000000000,2.560000000000000,0,0,0,45,6400.000000000000000,2560000.000000000000000,25,
40,136.500000000000000,0.000000000000000,2.560000000000000,349,0,349,46,6400.000000000000000,2560000.000000000000000,25,
41,273.000000000000000,0.000000000000000,2.560000000000000,699,0,699,47,6400.000000000000000,2560000.000000000000000,25,
42,273.000000000000000,0.000000000000000,2.560000000000000,699,0,699,48,6400.000000000000000,2560000.000000000000000,25,
43,322.000000000000000,1.000000000000000,2.560000000000000,824,3,821,49,6400.000000000000000,2560000.000000000000000,25,
44,371.000000000000000,2.000000000000000,2.560000000000000,950,5,945,50,6400.000000000000000,2560000.000000000000000,25,
45,937.000000000000000,14.000000000000000,2.560000000000000,2399,36,2363,51,6400.000000000000000,2560000.000000000000000,25,
46,794.000000000000000,4.000000000000000,2.560000000000000,2033,10,2023,52,6400.000000000000000,2560000.000000000000000,25,
47,397.000000000000000,13.000000000000000,2.560000000000000,1016,33,983,53,6400.000000000000000,2560000.000000000000000,25,
48,544.000000000000000,13.500000000000000,2.560000000000000,1393,35,1358,54,6400.000000000000000,2560000.000000000000000,25,
49,691.000000000000000,14.000000000000000,2.560000000000000,1769,36,1733,55,6400.000000000000000,2560000.000000000000000,25,
50,779.000000000000000,17.000000000000000,2.560000000000000,1994,44,1950,56,6400.000000000000000,2560000.000000000000000,25,
51,3.000000000000000,0.000000000000000,2.560000000000000,8,0,8,61,6400.000000000000000,2560000.000000000000000,25,
52,2.500000000000000,0.500000000000000,2.560000000000000,6,1,5,62,6400.000000000000000,2560000.000000000000000,25,
53,2.000000000000000,1.000000000000000,2.560000000000000,5,3,2,63,6400.000000000000000,2560000.000000000000000,25,
54,2.000000000000000,1.000000000000000,2.560000000000000,5,3,2,64,6400.000000000000000,2560000.000000000000000,25,
55,2.000000000000000,1.000000000000000,2.560000000000000,5,3,2,65,6400.000000000000000,2560000.000000000000000,25,
56,2.000000000000000,1.000000000000000,2.560000000000000,5,3,2,66,6400.000000000000000,2560000.000000000000000,25,
57,2.000000000000000,1.000000000000000,2.560000000000000,5,3,2,67,6400.000000000000000,2560000.000000000000000,25,
58,2.000000000000000,1.000000000000000,2.560000000000000,5,3,2,68,6400.000000000000000,2560000.000000000000000,25,
59,2.000000000000000,1.000000000000000,2.560000000000000,5,3,2,69,6400.000000000000000,2560000.000000000000000,25,
60,148.000000000000000,0.000000000000000,2.560000000000000,379,0,379,70,6400.000000000000000,2560000.000000000000000,25,
61,52.500000000000000,2.500000000000000,2.560000000000000,134,6,128,71,6400.000000000000000,2560000.000000000000000,25,
62,0.000000000000000,0.000000000000000,2.560000000000000,0,0,0,72,6400.000000000000000,2560000.000000000000000,25,
63,0.000000000000000,0.000000000000000,2.560000000000000,0,0,0,73,6400.000000000000000,2560000.000000000000000,25,
64,0.000000000000000,0.000000000000000,2.560000000000000,0,0,0,74,6400.000000000000000,2560000.000000000000000,25,
65,0.000000000000000,0.000000000000000,2.560000000000000,0,0,0,75,6400.000000000000000,2560000.000000000000000,25,
66,0.000000000000000,0.000000000000000,2.560000000000000,0,0,0,76,6400.000000000000000,2560000.000000000000000,25,
67,0.000000000000000,0.000000000000000,2.560000000000000,0,0,0,77,6400.000000000000000,2560000.000000000000000,25,
68,0.000000000000000,0.000000000000000,2.560000000000000,0,0,0,78,6400.000000000000000,2560000.000000000000000,25,
69,237.000000000000000,7.000000000000000,2.560000000000000,607,18,589,79,6400.000000000000000,2560000.000000000000000,25,
70,474.000000000000000,14.000000000000000,2.560000000000000,1213,36,1177,80,6400.000000000000000,2560000.000000000000000,25,
71,939.000000000000000,48.000000000000000,2.560000000000000,2404,123,2281,81,6400.000000000000000,2560000.000000000000000,25,
72,483.000000000000000,0.000000000000000,2.560000000000000,1236,0,1236,82,6400.000000000000000,2560000.000000000000000,25,
73,452.500000000000000,1.000000000000000,2.560000000000000,1158,3,1155,83,6400.000000000000000,2560000.000000000000000,25,
74,422.000000000000000,2.000000000000000,2.560000000000000,1080,5,1075,84,6400.000000000000000,2560000.000000000000000,25,
75,600.500000000000000,9.500000000000000,2.560000000000000,1537,24,1513,85,6400.000000000000000,2560000.000000000000000,25,
76,3.000000000000000,0.000000000000000,2.560000000000000,8,0,8,90,6400.000000000000000,2560000.000000000000000,25,
77,2.500000000000000,0.500000000000000,2.560000000000000,6,1,5,91,6400.000000000000000,2560000.000000000000000,25,
78,2.000000000000000,1.000000000000000,2.560000000000000,5,3,2,92,6400.000000000000000,2560000.000000000000000,25,
79,2.000000000000000,1.000000000000000,2.560000000000000,5,3,2,93,6400.000000000000000,2560000.000000000000000,25,
80,2.000000000000000,1.000000000000000,2.560000000000000,5,3,2,94,6400.000000000000000,2560000.000000000000000,25,
81,2.000000000000000,1.000000000000000,2.560000000000000,5,3,2,95,6400.000000000000000,2560000.000000000000000,25,
82,2.000000000000000,1.000000000000000,2.560000000000000,5,3,2,96,6400.000000000000000,2560000.000000000000000,25,
83,2.000000000000000,1.000000000000000,2.560000000000000,5,3,2,97,6400.000000000000000,2560000.000000000000000,25,
84,153.750000000000000,2.500000000000000,2.560000000000000,394,6,388,98,6400.000000000000000,2560000.000000000000000,25,
85,148.000000000000000,0.000000000000000,2.560000000000000,379,0,379,99,6400.000000000000000,2560000.000000000000000,25,
86,105.000000000000000,5.000000000000000,2.560000000000000,269,13,256,100,6400.000000000000000,2560000.000000000000000,25,
87,99.000000000000000,3.000000000000000,2.560000000000000,253,8,245,101,6400.000000000000000,2560000.000000000000000,25,
88,93.000000000000000,1.000000000000000,2.560000000000000,238,3,235,102,6400.000000000000000,2560000.000000000000000,25,
89,93.000000000000000,1.000000000000000,2.560000000000000,238,3,235,103,6400.000000000000000,2560000.000000000000000,25,
90,0.000000000000000,0.000000000000000,2.560000000000000,0,0,0,104,6400.000000000000000,2560000.000000000000000,25,
91,0.000000000000000,0.000000000000000,2.560000000000000,0,0,0,105,6400.000000000000000,2560000.000000000000000,25,
92,0.000000000000000,0.000000000000000,2.560000000000000,0,0,0,106,6400.000000000000000,2560000.000000000000000,25,
93,0.000000000000000,0.000000000000000,2.560000000000000,0,0,0,107,6400.000000000000000,2560000.000000000000000,25,
94,118.500000000000000,3.500000000000000,2.560000000000000,303,9,294,108,6400.000000000000000,2560000.000000000000000,25,
95,237.000000000000000,7.000000000000000,2.560000000000000,607,18,589,109,6400.000000000000000,2560000.000000000000000,25,
96,847.000000000000000,14.250000000000000,2.560000000000000,2168,36,2132,110,6400.000000000000000,2560000.000000000000000,25,
